6882	7165	1278478	ENSANGP00000003474	58390920	XP_318071.2
6882	6239	175914	C05D11.1	71981120	NP_001021145.1
6882	4896	2543450	hypothetical protein	19114456	NP_593544.1
6882	4932	854055	Putative metalloprotease	6324474	NP_014543.1
6882	28985	2894894	mRNA gene KLLA0F27071g	50312497	XP_456284.1
6882	33169	2757630	AFR334Wp	45198852	NP_985881.1
6882	148305	2681539	hypothetical protein	39968699	XP_365740.1
6882	5833	810736	Plasmodium falciparum 3D7 PF11_0189 gene	23508380	NP_701049.1
6885	9606	5982	RFC2	31563534	NP_852136.1
6885	9598	463467	LOC463467	55628734	XP_519145.1
6885	9615	489798	LOC489798	73957665	XP_546916.2
6885	10090	19718	Rfc2	11177922	NP_064406.1
6885	10116	116468	Rfc2	55926133	NP_446238.1
6885	9031	396542	LOC396542	45382983	NP_990861.1
6885	7227	38492	RfC40	17647857	NP_523915.1
6885	7165	1269746	ENSANGP00000009446	58378344	XP_308395.2
6885	6239	176946	rfc-2	17541988	NP_500069.1
6885	4896	2542790	rfc4	19114033	NP_593121.1
6885	4932	854059	RFC4	6324478	NP_014547.1
6885	28985	2892422	mRNA gene KLLA0C03718g	50304813	XP_452362.1
6885	33169	2755288	ADR111Wp	45187984	NP_984207.1
6885	148305	2683446	hypothetical protein	39972449	XP_367615.1
6885	3702	842620	AT1G63160	15221697	NP_176504.1
6885	4530	3036030	OSJNBb0032E06.6	50928029	XP_473542.1
6886	9606	93587	RG9MTD2	22748659	NP_689505.1
6886	9615	487872	LOC487872	74002269	XP_544994.2
6886	10090	108943	Rg9mtd2	60593005	NP_780598.2
6886	10116	295496	LOC295496	109465624	XP_215716.3
6886	9031	422708	RG9MTD2	50746801	XP_420661.1
6886	7227	33134	CG14618	19920422	NP_608464.1
6886	7165	1271937	ENSANGP00000015571	58380792	XP_310794.2
6886	6239	177847	F25H8.1	17539998	NP_501789.1
6886	4896	2543319	hypothetical protein	19114676	NP_593764.1
6886	4932	854060	TRM10	6324479	NP_014548.1
6886	28985	2892404	mRNA gene KLLA0C03740g	50304815	XP_452363.1
6886	33169	2755287	ADR110Cp	45187983	NP_984206.1
6886	148305	2674532	hypothetical protein	39973947	XP_368364.1
6886	5141	2712864	Neurospora crassa NCU02231.1 gene	32421127	XP_331007.1
6886	3702	834819	AT5G47680	15238165	NP_199579.1
6886	4530	3063130	OJ1124_G07.18	50912315	XP_467565.1
6886	5833	810745	Plasmodium falciparum 3D7 PF11_0198 gene	23508389	NP_701058.1
