#tax_id	GeneID	relationship	Other_tax_id	Other_GeneID
9606	5982	Ortholog	7868	103186896
9606	5982	Ortholog	7897	102352265
9606	5982	Ortholog	7918	102694053
9606	5982	Ortholog	7950	105896588
9606	5982	Ortholog	7955	503748
9606	5982	Ortholog	7994	103030272
9606	5982	Ortholog	7998	108278463
9606	5982	Ortholog	8010	105023969
9606	5982	Ortholog	8078	105918722
9606	5982	Ortholog	8081	103468076
9606	5982	Ortholog	8083	102232712
9606	5982	Ortholog	8090	101163395
9606	5982	Ortholog	8128	100710402
9606	5982	Ortholog	8153	102306842
9606	5982	Ortholog	8187	108883146
9606	5982	Ortholog	8255	109641693
9606	5982	Ortholog	8364	100216026
9606	5982	Ortholog	8469	102947568
9606	5982	Ortholog	8479	101941149
9606	5982	Ortholog	8496	102558373
9606	5982	Ortholog	8502	109316928
9606	5982	Ortholog	8839	101790369
9606	5982	Ortholog	8897	104396220
9606	5982	Ortholog	8932	102090389
9606	5982	Ortholog	8954	101910370
9606	5982	Ortholog	8969	104321768
9606	5982	Ortholog	9031	396542
9606	5982	Ortholog	9103	100551330
9606	5982	Ortholog	9135	103820053
9606	5982	Ortholog	9157	107212852
9606	5982	Ortholog	9172	106860256
9606	5982	Ortholog	9209	104041253
9606	5982	Ortholog	9233	103896541
9606	5982	Ortholog	9238	103912874
9606	5982	Ortholog	9244	103535836
9606	5982	Ortholog	9258	100086686
9606	5982	Ortholog	9305	100914917
9606	5982	Ortholog	9361	101438588
9606	5982	Ortholog	9365	103108965
9606	5982	Ortholog	9371	101653870
9606	5982	Ortholog	9402	102888919
9606	5982	Ortholog	9407	107502830
9606	5982	Ortholog	9478	103252222
9606	5982	Ortholog	9483	100396246
9606	5982	Ortholog	9531	105593343
9606	5982	Ortholog	9541	102115979
9606	5982	Ortholog	9544	693548
9606	5982	Ortholog	9545	105466403
9606	5982	Ortholog	9555	101017332
9606	5982	Ortholog	9568	105550329
9606	5982	Ortholog	9593	101150117
9606	5982	Ortholog	9597	100971331
9606	5982	Ortholog	9601	100431885
9606	5982	Ortholog	9615	489798
9606	5982	Ortholog	9646	100473372
9606	5982	Ortholog	9669	101686393
9606	5982	Ortholog	9685	101094392
9606	5982	Ortholog	9691	109250616
9606	5982	Ortholog	9708	101374682
9606	5982	Ortholog	9713	102734513
9606	5982	Ortholog	9733	101278471
9606	5982	Ortholog	9739	101325205
9606	5982	Ortholog	9755	102980871
9606	5982	Ortholog	9785	100674743
9606	5982	Ortholog	9793	106840988
9606	5982	Ortholog	9796	100059980
9606	5982	Ortholog	9798	103541689
9606	5982	Ortholog	9823	100620242
9606	5982	Ortholog	9837	105082738
9606	5982	Ortholog	9838	105089732
9606	5982	Ortholog	9913	508652
9606	5982	Ortholog	9915	109578744
9606	5982	Ortholog	9925	102177120
9606	5982	Ortholog	9940	101110382
9606	5982	Ortholog	9974	108409125
9606	5982	Ortholog	9978	101523525
9606	5982	Ortholog	9986	100343517
9606	5982	Ortholog	9994	107147029
9606	5982	Ortholog	10020	105998500
9606	5982	Ortholog	10029	100770063
9606	5982	Ortholog	10036	101843889
9606	5982	Ortholog	10090	19718
9606	5982	Ortholog	10116	116468
9606	5982	Ortholog	10141	100713099
9606	5982	Ortholog	10160	101564688
9606	5982	Ortholog	10181	101697046
9606	5982	Ortholog	13146	101872927
9606	5982	Ortholog	13616	100619149
9606	5982	Ortholog	13735	102444419
9606	5982	Ortholog	27679	101027579
9606	5982	Ortholog	28377	100562656
9606	5982	Ortholog	28737	102858772
9606	5982	Ortholog	28743	107084507
9606	5982	Ortholog	29073	103670233
9606	5982	Ortholog	29078	103286051
